ID,Total2020,Total2019,Total2018,Total2017,Total2016,Total2015,0-19-2020,0-19-2019,0-19-2018,0-19-2017,0-19-2016,0-19-2015,20-39-2020,20-39-2019,20-39-2018,20-39-2017,20-39-2016,20-39-2015,40-64-2020,40-64-2019,40-64-2018,40-64-2017,40-64-2016,40-64-2015,65-79-2020,65-79-2019,65-79-2018,65-79-2017,65-79-2016,65-79-2015,80-2020,80-2019,80-2018,80-2017,80-2016,80-2015
1, 1 312 , 1 341 , 1 561 , 1 678 , 1 340 , 1 423 ,10,  9 ,  8 ,  10 ,  3 ,  9 ,  12 ,  14 ,  24 ,  20 ,  15 ,  20 ,  122 ,  125 ,  144 ,  131 ,  152 ,  162 ,  329 ,  317 ,  327 ,  364 ,  321 ,  311 ,  839 ,  876 , 1 058 , 1 153 ,  849 ,  921 
2, 1 363 , 1 389 , 1 541 , 1 731 , 1 243 , 1 494 ,10,  9 ,  13 ,  7 ,  7 ,  10 ,  13 ,  24 ,  18 ,  18 ,  14 ,  17 ,  132 ,  137 ,  136 ,  145 ,  113 ,  152 ,  339 ,  342 ,  339 ,  357 ,  301 ,  348 ,  869 ,  877 , 1 035 , 1 204 ,  808 ,  967 
3, 1 409 , 1 358 , 1 494 , 1 746 , 1 323 , 1 524 ,19,  9 ,  8 ,  9 ,  6 ,  11 ,  17 ,  16 ,  27 ,  14 ,  22 ,  14 ,  139 ,  138 ,  136 ,  147 ,  149 ,  159 ,  320 ,  324 ,  359 ,  392 ,  310 ,  359 ,  914 ,  871 ,  964 , 1 184 ,  836 ,  981 
4, 1 412 , 1 403 , 1 397 , 1 657 , 1 351 , 1 480 ,8,  10 ,  5 ,  4 ,  15 ,  7 ,  17 ,  10 ,  20 ,  20 ,  15 ,  15 ,  137 ,  146 ,  160 ,  143 ,  159 ,  148 ,  377 ,  327 ,  329 ,  364 ,  316 ,  340 ,  873 ,  910 ,  883 , 1 126 ,  846 ,  970 
5, 1 420 , 1 439 , 1 397 , 1 564 , 1 345 , 1 590 ,9,  8 ,  7 ,  10 ,  11 ,  12 ,  13 ,  8 ,  11 ,  11 ,  16 ,  24 ,  133 ,  143 ,  131 ,  153 ,  151 ,  157 ,  356 ,  360 ,  321 ,  339 ,  294 ,  372 ,  909 ,  920 ,  927 , 1 051 ,  873 , 1 025 
6, 1 388 , 1 481 , 1 441 , 1 592 , 1 340 , 1 656 ,12,  8 ,  13 ,  9 ,  3 ,  8 ,  15 ,  12 ,  20 ,  13 ,  23 ,  15 ,  141 ,  132 ,  155 ,  142 ,  151 ,  144 ,  382 ,  380 ,  356 ,  353 ,  324 ,  405 ,  838 ,  949 ,  897 , 1 075 ,  839 , 1 084 
7, 1 380 , 1 555 , 1 458 , 1 402 , 1 313 , 1 805 ,10,  10 ,  11 ,  9 ,  13 ,  8 ,  17 ,  16 ,  20 ,  20 ,  20 ,  19 ,  135 ,  145 ,  148 ,  131 ,  141 ,  184 ,  331 ,  386 ,  370 ,  344 ,  302 ,  359 ,  887 ,  998 ,  909 ,  898 ,  837 , 1 235 
8, 1 367 , 1 527 , 1 478 , 1 383 , 1 380 , 1 772 ,8,  10 ,  13 ,  12 ,  12 ,  10 ,  11 ,  12 ,  16 ,  17 ,  15 ,  25 ,  160 ,  125 ,  153 ,  139 ,  155 ,  164 ,  316 ,  378 ,  350 ,  335 ,  366 ,  399 ,  872 , 1 002 ,  946 ,  880 ,  832 , 1 174 
9, 1 346 , 1 527 , 1 636 , 1 395 , 1 320 , 1 729 ,5,  8 ,  11 ,  3 ,  4 ,  13 ,  14 ,  21 ,  15 ,  9 ,  15 ,  9 ,  145 ,  141 ,  180 ,  158 ,  148 ,  158 ,  307 ,  348 ,  383 ,  332 ,  327 ,  392 ,  875 , 1 009 , 1 047 ,  893 ,  826 , 1 157 
10, 1 353 , 1 452 , 1 532 , 1 348 , 1 355 , 1 549 ,9,  6 ,  7 ,  13 ,  8 ,  11 ,  12 ,  23 ,  15 ,  14 ,  14 ,  6 ,  140 ,  136 ,  171 ,  162 ,  159 ,  154 ,  329 ,  354 ,  341 ,  307 ,  354 ,  344 ,  863 ,  933 ,  998 ,  852 ,  820 , 1 034 
